Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.089309976,9.646221255,8.621735762,8.248750231,9.864979027,10.20457654,8.784049891,9.55459576,7.973577838,,
"PPG, IBRD (TDS, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PPG, IDA (TDS, current US$)",,,,,,,,,,,0,0,0,15000,19000,31000,51000,92000,175000,301000,460000,696000,952000,1587000,2022000,2244000,4212000,5375000,6106000,5549000,6813000,7884000,8731000,9635000,11962000,14382000,15581000,16725000,18855000,22154000,24046000,25353000,28222000,31446000,37783000,42056000,42002000,45653000,50494000,51469000,53985000,56893000,57334000,59594000,,
"Multilateral debt service (TDS, current US$)",,,,,,,,,,,0,10000,46000,89000,355000,1073000,1022000,1396000,2262000,2818000,3167000,3566000,4298000,4979000,6448000,7807000,10553000,13435000,15547000,16509000,20022000,24028000,29977000,31076000,38880000,40331000,43422000,44659000,44009000,58589000,58760000,59275000,67403000,73747000,82983000,86462000,93321000,106362000,122453000,134204000,142040000,153696000,160841000,164911000,,
Multilateral debt service (% of public and publicly guaranteed debt service),,,,,,,,,,,0,2.816901408,10.59907834,13.77708978,37.40779768,59.21633554,54.13135593,47.30599797,82.37436271,86.12469438,79.4530858,75.92080051,75.02181882,64.79698074,68.27615417,58.57153575,46.90430686,46.79065232,37.95746966,33.57193696,38.53200416,44.73155112,48.54653517,49.12968555,54.19192975,54.21562038,63.1859257,53.68313499,54.82279664,58.67348983,62.13058419,67.34494473,68.68325589,66.9137662,71.93581664,75.10728122,69.46731379,74.29226009,76.28995078,77.61269988,78.04610017,81.37617739,77.33818657,82.72684405,,
"PPG, multilateral concessional (TDS, current US$)",,,,,,,,,,,0,4000,41000,89000,162000,781000,725000,1091000,1943000,2489000,2780000,3309000,3988000,4898000,5999000,7255000,10553000,13435000,15547000,16509000,20022000,23194000,27788000,28274000,35322000,40331000,43422000,44659000,44009000,55036000,58760000,59275000,67403000,73747000,82983000,86462000,93321000,106362000,122453000,134204000,142040000,153696000,160841000,164911000,,
"PPG, official creditors (TDS, current US$)",,,,,,,,,,,2642000,355000,434000,646000,949000,1812000,1888000,2321000,2746000,3272000,3986000,4697000,5674000,7534000,9132000,10515000,14786000,18977000,21698000,23949000,28335000,36509000,44648000,48075000,57577000,64143000,60692000,65190000,64539000,85346000,86503000,87691000,97633000,109634000,114707000,114307000,133720000,142478000,159859000,172261000,181407000,188267000,207407000,198786000,,
"PPG, bonds (TDS, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PPG, commercial banks (TDS, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530000,2456000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PNG, bonds (TDS, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PNG, commercial banks and other creditors (TDS, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"PPG, other private creditors (TDS, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,630000,0,0,0,0,55000,150000,312000,2814000,5183000,7280000,19261000,25226000,23627000,17207000,17101000,15178000,14168000,10247000,8029000,18000000,15736000,14510000,8072000,326000,503000,578000,650000,811000,618000,689000,651000,654000,588000,604000,564000,558000,,
"PPG, private creditors (TDS, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,630000,0,0,0,0,55000,150000,312000,2814000,7713000,9736000,19261000,25226000,23627000,17207000,17101000,15178000,14168000,10247000,8029000,18000000,15736000,14510000,8072000,326000,503000,578000,650000,811000,618000,689000,651000,654000,588000,604000,564000,558000,,
Total amount of debt rescheduled (current US$),,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Undisbursed external debt, total (UND, current US$)",,,,,,,,,,,25652000,26823000,48662000,62344000,81142000,86229000,192209000,228496000,294201000,324224000,365817000,404531000,441251000,555408000,548379000,711387000,832829000,1229360000,1195518000,1218057000,1334884000,1235675000,1255893000,1065772000,1031284000,863061000,992082000,857665000,756697000,637084000,464331000,573561000,652089000,870489000,1000568000,847311000,771220000,777805000,732911000,798394000,1089518000,1323035000,1335302000,1586059000,,
"Undisbursed external debt, official creditors (UND, current US$)",,,,,,,,,,,25652000,26823000,48662000,62344000,81142000,86229000,192209000,228496000,294201000,324224000,365817000,399555000,437635000,540162000,541555000,695478000,820328000,1160195000,1182023000,1209523000,1327189000,1229489000,1251758000,1062991000,1028217000,859715000,988952000,857665000,756697000,637084000,464331000,573561000,652089000,870489000,1000568000,847311000,771220000,777805000,732911000,798394000,1089518000,1323035000,1335302000,1586059000,,
"Undisbursed external debt, private creditors (UND, current US$)",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4976000,3616000,15246000,6824000,15909000,12501000,69165000,13495000,8534000,7695000,6186000,4135000,2781000,3067000,3346000,3130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Agriculture value added per worker (constant 2005 US$),,,,,,,,,,,,,,,,,,,,,210.0875705,227.0710242,232.8314018,225.8147917,242.9602819,243.5035029,245.1545779,238.6259853,249.1801012,259.3096825,268.8184712,269.2640032,259.9237269,251.9715567,264.2354936,256.4146601,260.4649487,263.6422505,258.7921852,258.0992249,262.9965555,266.1762491,264.8439045,263.887713,266.5104622,265.654144,260.3771229,256.167217,262.8903542,262.8799046,260.5007828,264.6828598,269.467953,265.3063964,270.8477198,
Energy intensity level of primary energy (MJ/$2011 PPP GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79128014,10.47381362,10.30579481,10.18577078,9.746334455,9.716169811,9.446465163,9.283220185,9.245501982,9.341999192,9.286283354,9.152637268,9.243012689,9.143759481,8.860626254,8.852740583,8.564022066,8.442110474,8.234760262,8.115617339,7.965793947,7.972170103,7.266284237,,,
"Access to electricity, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,17.4,,,,,,,,,,71.6,,71.56,,,
"Access to electricity, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,,,,99.81805956,,97,,,
Access to electricity (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.91566,,,,,,,,,,72.75585,,,,,,,,,,76.3,,76.3,,,
Electricity production from coal sources (% of total),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,22.09302326,21.4953271,22.11538462,14.28571429,14.77272727,9.79020979,11.46496815,12.06896552,11.91709845,6.451612903,3.95256917,1.543209877,0.835654596,1.03626943,0.697674419,0.184842884,1.063829787,3.767123288,0.139664804,0.113895216,3.433476395,5.304740406,6.645230439,8.01980198,3.093645485,3.276003276,9.153122327,9.52,4.533152909,1.627486438,0.964113551,0.188412624,0.17644464,0.578990902,0.631662061,0.473071325,0.32234957,0.320056899,0.417335474,0.093516209,0.057273769,0.53490991,,,
Electricity production from hydroelectric sources (% of total),,,,,,,,,,,,77.90697674,78.5046729,77.88461538,85.71428571,85.22727273,90.20979021,88.53503185,87.93103448,88.08290155,93.5483871,96.04743083,98.45679012,99.1643454,98.96373057,99.30232558,99.81515712,98.93617021,96.23287671,99.8603352,99.88610478,96.56652361,94.69525959,93.35476956,91.98019802,96.90635452,96.72399672,90.84687767,90.48,95.46684709,98.37251356,99.03588645,99.81158738,99.82355536,99.4210091,99.36833794,99.52692868,99.67765043,99.6799431,99.58266453,99.90648379,99.94272623,99.46509009,,,
Electric power transmission and distribution losses (% of output),,,,,,,,,,,,15.11627907,16.82242991,28.84615385,26.78571429,37.5,27.27272727,26.75159236,28.73563218,30.05181347,21.19815668,21.34387352,21.2962963,20.8913649,21.50259067,21.62790698,20.51756007,21.80851064,23.28767123,21.08938547,18.90660592,19.31330472,20.76749436,21.11468382,21.48514851,19.73244147,20.88452088,22.41231822,22.72,21.85385656,21.21760096,20.99625067,19.64201602,19.49713277,27.12985939,28.34583498,29.65793304,30.26504298,31.86344239,34.44622793,34.32044888,31.55784651,30.01126126,,,
Electricity production from natural gas sources (% of total),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Electricity production from nuclear sources (% of total),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Electricity production from oil sources (% of total),,,,,,,,,,,,22.09302326,21.4953271,22.11538462,14.28571429,14.77272727,9.79020979,11.46496815,12.06896552,11.91709845,6.451612903,3.95256917,1.543209877,0.835654596,1.03626943,0.697674419,0.184842884,1.063829787,3.767123288,0.139664804,0.113895216,3.433476395,5.304740406,6.645230439,8.01980198,3.093645485,3.276003276,9.153122327,9.52,4.533152909,1.627486438,0.964113551,0.188412624,0.17644464,0.578990902,0.631662061,0.473071325,0.32234957,0.320056899,0.417335474,0.093516209,0.057273769,0.53490991,,,
Renewable electricity output (% of total electricity output),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.88610478,96.56652361,94.69525959,93.35476956,91.98019802,96.90635452,96.72399672,90.84687767,90.48,95.46684709,98.37251356,99.03588645,99.81158738,99.82355536,99.4210091,99.36833794,99.52692868,99.67765043,99.6799431,99.58266453,99.90648379,99.94272623,99.46509009,,,
"Electricity production from renewable sources, excluding hydroelectric (kWh)",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
"Electricity production from renewable sources, excluding hydroelectric (% of total)",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Renewable energy consumption (% of total final energy consumption),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.11971168,94.18865006,94.16106007,93.54556166,92.38022237,91.73241794,91.51545524,90.70866739,90.4911806,88.0524417,88.28453195,87.75650539,89.94329148,89.4428832,90.29700575,89.51737603,91.25325691,91.31226866,90.46893594,88.86722167,87.29244813,86.9455155,84.72026885,,,
GDP per unit of energy use (PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.507638898,2.66964944,2.775019429,2.874520065,3.068055922,3.141770319,3.290462923,3.40563385,3.456638235,3.473284544,3.573633025,3.708443704,3.728556253,3.844185303,4.076104817,4.211006831,4.486707144,4.672629893,4.88425304,4.993594471,5.149652143,5.251769579,5.865394631,,,
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.879799262,3.997397864,4.062568693,4.110440035,4.295768863,4.30910543,4.432134085,4.510072853,4.528472312,4.48169594,4.508585211,4.574419273,4.529691966,4.578860559,4.725173914,4.729382955,4.888824344,4.959423325,5.084301046,5.158942062,5.255973296,5.251769579,5.761954588,,,
"Energy imports, net (% of energy use)",,,,,,,,,,,,1.656192946,2.176650041,2.986853969,2.771517721,2.481216979,1.959548073,2.213676743,2.145405489,3.12647234,3.48484606,3.016059099,3.465645842,4.475277245,4.791268876,3.566814606,4.524513056,4.249346329,4.434043294,3.431404268,4.981320286,5.966662065,6.337810309,6.772948182,7.953062403,8.54075464,8.736276911,9.829249252,10.12893912,12.65963802,11.95500829,12.37836257,10.0361207,10.48580925,9.770678759,10.72711085,8.936932635,8.86254941,10.069274,11.49085768,13.06110972,13.49392232,15.73569227,,,
"Access to non-solid fuel, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82607317,,14.46024776,,,
"Access to non-solid fuel, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.79481263,,49.02156282,,,
Access to non-solid fuel (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.24012613,,,,,,,,,,24.071908,,,,,,,,,,21.14886642,,20.45165896,,,
Alternative and nuclear energy (% of total energy use),,,,,,,,,,,,0.157529569,0.192205257,0.179869676,0.208961026,0.160230772,0.270688029,0.284424555,0.306260393,0.329263558,0.382703922,0.45035299,0.575325269,0.621637349,0.650631668,0.720667327,0.88177963,0.894450115,0.880262964,1.10523474,1.302812425,1.295034446,1.178546321,1.192022839,1.227844125,1.485077854,1.477734608,1.287215941,1.336138052,1.579987365,1.731091929,1.898769622,2.152172231,2.235195981,2.340730331,2.370466577,2.575941597,2.57128102,2.502217978,2.687939487,2.699410464,2.839923377,3.008224951,,,
Fossil fuel energy consumption (% of total),,,,,,,,,,,,1.653869098,2.162947701,2.98687979,2.745422903,2.408603871,1.919679293,2.166613687,2.091359537,3.058682784,3.456567445,2.982699618,3.43137882,4.449084661,4.745281821,3.504368023,4.503285028,4.165992555,4.28367809,3.37266452,5.051140337,6.00982988,6.287240979,6.70178264,7.853936128,8.558693458,8.668709029,9.655923565,9.930467687,12.50624334,11.97369419,12.35246277,10.15772763,10.61004296,9.705238305,10.64679652,8.831008112,8.615560839,9.885960568,11.09282355,12.59672651,12.98665527,15.17082462,,,
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.7452936,250.1627394,246.149684,243.2829555,232.7871988,232.0667285,225.6249429,221.7259084,220.8250225,223.1298181,221.7990685,218.6069838,220.7655636,218.394945,211.6324221,211.4440741,204.5481551,201.6363465,196.6838688,193.8381916,190.2597185,190.4120097,173.5522182,,,
Combustible renewables and waste (% of total energy),,,,,,,,,,,,98.18627748,97.6311447,96.83327635,97.01952125,97.35855225,97.7697639,97.5018987,97.54833412,96.5442641,96.13245002,96.53358791,95.95902889,94.90308541,94.55809946,95.71251807,94.59370731,94.85620356,94.68569374,95.46336099,93.71586729,92.73830349,92.48364337,92.03502898,90.81909347,89.97416751,89.78598848,88.88353481,88.53492283,85.76037462,86.18809369,85.65122243,87.72667552,87.21008451,87.82745277,86.82357566,88.35570576,88.47592581,87.33508668,85.7305207,84.14546123,83.56964194,81.14915464,,,
Electric power consumption (kWh per capita),,,,,,,,,,,,6.049481159,7.607433984,5.802543521,7.215091392,6.684950382,9.038355695,9.918228518,10.61217416,11.68035192,12.49153799,14.24136635,17.56859382,18.7299397,20.19940238,22.3760024,25.91862056,28.21635223,30.45019607,32.97706798,35.48239625,37.53121146,37.3376533,38.79348902,41.61189325,44.22440285,46.56995396,46.8849484,49.59220687,55.41484293,59.30882057,65.0347474,68.11608727,71.13302157,75.08493686,77.78303606,84.70849268,88.70602352,84.55781675,97.99694397,103.0662776,115.235023,119.0886789,,,
Energy use (kg of oil equivalent per capita),,,,,,,,,,,,299.0181692,300.9726705,303.677213,303.2622652,302.3583528,301.1642578,302.065543,301.9440449,305.077875,306.3617523,304.5394782,305.7469435,308.5151818,309.0659753,304.861366,308.1344859,307.0651113,307.336068,304.2598825,308.8925608,310.6812372,309.7450769,309.360352,311.9382844,313.7642844,313.8033252,316.8222704,318.3538484,329.4089874,341.5191862,346.9036688,345.370792,350.1150835,350.5203362,358.0066168,353.9934956,357.1308727,365.9527457,373.214818,379.921945,388.8481123,367.2746492,,,
CO2 intensity (kg per kg of oil equivalent energy use),,,,,,,,,,,,0.054136915,0.071223169,0.108888805,0.107662512,0.08745172,0.068894178,0.080269873,0.076816475,0.115620606,0.118970983,0.097989811,0.093050904,0.100515568,0.139439406,0.133134663,0.133684172,0.162671451,0.180991369,0.16411954,0.109582413,0.160750585,0.217422147,0.233420434,0.260928172,0.303229345,0.361733474,0.392266416,0.30929262,0.419211873,0.398915601,0.412476039,0.320039044,0.339030986,0.313455814,0.354989367,0.291559879,0.294285862,0.312886135,0.364676103,0.424134157,0.410120172,,,,
CO2 emissions from gaseous fuel consumption (kt),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CO2 emissions from gaseous fuel consumption (% of total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CO2 emissions (kg per 2005 US$ of GDP),0.047544904,0.04665461,0.049941889,0.055139666,0.077865431,0.094191994,0.093384015,0.105822085,0.125047118,0.189097962,0.104859145,0.092433872,0.121178789,0.191812146,0.181955746,0.148422338,0.114031372,0.132255173,0.123920446,0.188304436,0.203791416,0.157597423,0.148184148,0.17040301,0.220959565,0.200578395,0.199078614,0.242659946,0.256559202,0.225948733,0.150030493,0.213610756,0.284283069,0.301646637,0.322647273,0.373793754,0.433534578,0.462003753,0.362798743,0.496865817,0.469990059,0.478972622,0.375303165,0.393305399,0.352376117,0.398711531,0.316789852,0.315199958,0.326891023,0.375486725,0.428645267,0.414813995,,,,
CO2 emissions (kt),80.674,80.674,88.008,99.009,150.347,179.683,190.684,212.686,253.023,399.703,227.354,198.018,267.691,421.705,425.372,352.032,282.359,337.364,330.03,513.38,542.716,454.708,443.707,495.045,704.064,678.395,704.064,872.746,993.757,913.083,634.391,960.754,1331.121,1466.8,1697.821,2035.185,2486.226,2783.253,2251.538,3219.626,3234.294,3454.314,2709.913,2951.935,2768.585,3241.628,2662.242,2739.249,3014.274,3619.329,4330.727,4334.394,,,,
CO2 emissions from liquid fuel consumption (kt),80.674,80.674,88.008,99.009,121.011,146.68,157.681,161.348,194.351,333.697,201.685,165.015,205.352,216.353,194.351,223.687,245.689,264.024,271.358,311.695,319.029,333.697,322.696,363.033,418.038,451.041,517.047,564.718,649.059,586.72,542.716,718.732,916.75,1048.762,1232.112,1532.806,1591.478,1859.169,1804.164,1965.512,1939.843,2005.849,1961.845,2031.518,1943.51,2002.182,1826.166,1719.823,2046.186,2618.238,2841.925,2900.597,,,,
CO2 emissions from liquid fuel consumption (% of total),100,100,100,100,80.48780488,81.63265306,82.69230769,75.86206897,76.8115942,83.48623853,88.70967742,83.33333333,76.71232877,51.30434783,45.68965517,63.54166667,87.01298701,78.26086957,82.22222222,60.71428571,58.78378378,73.38709677,72.72727273,73.33333333,59.375,66.48648649,73.4375,64.70588235,65.31365314,64.25702811,85.54913295,74.80916031,68.87052342,71.5,72.57019438,75.31531532,64.01179941,66.79841897,80.13029316,61.04783599,59.97732426,58.06794055,72.39512855,68.81987578,70.1986755,61.76470588,68.59504132,62.78447122,67.88321168,72.34042553,65.62235394,66.92047377,,,,
CO2 emissions (metric tons per capita),0.00802172,0.007897483,0.008481014,0.009389558,0.014024922,0.016477112,0.017177699,0.018809886,0.021955927,0.034014631,0.018966755,0.016187921,0.021436227,0.033067049,0.032649977,0.026441758,0.020748464,0.024246763,0.023194277,0.035273289,0.036448159,0.029841766,0.028450029,0.031010579,0.043095976,0.040587615,0.041192704,0.049950727,0.055625176,0.049934992,0.033849192,0.04994219,0.06734544,0.072211028,0.081393486,0.095142538,0.113513167,0.124278736,0.098464496,0.138092159,0.136237331,0.143089451,0.110532138,0.118699862,0.109872637,0.127088542,0.103210301,0.105098567,0.11450154,0.136102525,0.161137874,0.159474455,,,,
CO2 emissions (kg per PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043699439,0.060214117,0.078349775,0.081203272,0.085046746,0.09651544,0.109933916,0.115181618,0.089477868,0.120696093,0.111627467,0.111226183,0.085834576,0.088193196,0.076900823,0.084300354,0.064983042,0.062980777,0.064060181,0.073028778,0.08236171,0.078091806,,,,
CO2 emissions (kg per 2011 PPP $ of GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028244351,0.040213807,0.053518393,0.056787213,0.060740738,0.070369442,0.081616094,0.086975627,0.06829955,0.093538669,0.088479109,0.090170143,0.0706536,0.074042654,0.066337413,0.075060398,0.059638035,0.059338726,0.061539656,0.070688156,0.080695645,0.078091806,,,,
CO2 emissions from solid fuel consumption (kt),0,0,0,0,25.669,33.003,33.003,51.338,62.339,62.339,25.669,33.003,62.339,205.352,212.686,124.678,22.002,51.338,44.004,190.684,205.352,102.676,110.01,110.01,267.691,212.686,139.346,231.021,234.688,216.353,33.003,179.683,300.694,282.359,311.695,341.031,744.401,810.407,304.361,1111.101,1140.437,1305.452,605.055,773.737,682.062,1096.433,689.396,872.746,821.408,854.411,1342.122,1283.45,,,,
CO2 emissions from solid fuel consumption (% of total),0,0,0,0,17.07317073,18.36734694,17.30769231,24.13793103,24.63768116,15.59633028,11.29032258,16.66666667,23.28767123,48.69565217,50,35.41666667,7.792207792,15.2173913,13.33333333,37.14285714,37.83783784,22.58064516,24.79338843,22.22222222,38.02083333,31.35135135,19.79166667,26.47058824,23.61623616,23.69477912,5.202312139,18.70229008,22.58953168,19.25,18.35853132,16.75675676,29.94100295,29.11725955,13.51791531,34.51025057,35.26077098,37.79193206,22.32746955,26.21118012,24.63576159,33.82352941,25.8953168,31.86077644,27.25060827,23.60688956,30.99068586,29.6108291,,,,
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,0,,0,,,,,
HFC gas emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,0,,0,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17264.2,,,,,,,,,,17606,,,,,18399.3,,,18930.4,,19184.8,,,,,
Agricultural methane emissions (% of total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.10485167,,,,,,,,,,83.02328104,,,,,82.44559056,,,82.07805271,,81.59543384,,,,,
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296.6,,,,,,,,,,1405.1,,,,,1435.8,,,1458.6,,1515.7,,,,,
Energy related methane emissions (% of total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.391663134,,,,,,,,,,6.625923673,,,,,6.433689267,,,6.324168939,,6.446467989,,,,,
Methane emissions (kt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20285.8,,,,,,,,,,21206.1,,,,,22316.9,,,23063.9,,23512.1,,,,,
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2763,,,,,,,,,,3244.8,,,,,3466.2,,,3549.4,,3382.9,,,,,
Agricultural nitrous oxide emissions (% of total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.93378627,,,,,,,,,,76.67840348,,,,,76.58587242,,,76.43803166,,75.04048269,,,,,
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.4,,,,,,,,,,565.3,,,,,593.1,,,616.3,,646.7,,,,,
Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.71053071,,,,,,,,,,13.35869745,,,,,13.10457589,,,13.27231614,,14.34528959,,,,,
Industrial nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,0,,0,,,,,
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3591.4,,,,,,,,,,4231.7,,,,,4525.9,,,4643.5,,4508.1,,,,,
PFC gas emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,0,,0,,,,,
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.67578979,,,,,31.3633165,,,,,33.31935922,,,,,36.99318924,,,,,41.48309978,42.91326156,,46.08631552,,
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.79756916,,,,,99.80576076,,,,,99.81951798,,,,,99.80917903,,,,,99.83133136,99.83742408,,99.81293476,,
SF6 gas emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,0,,,0,,0,,,,,
"Bird species, threatened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,
Disaster risk reduction progress score (1-5 scale; 5=best),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1169,,,,,,,,,,,,,,,,,,,,,
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703796514,,,,,,
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),,,,,,,,,,,,31.57894737,38.46153846,25.64102564,21.62162162,29.03225806,37.5,31.03448276,32.14285714,22.22222222,17.64705882,18.18181818,18,15.49295775,16.66666667,29.09090909,24.65753425,22.97297297,30.1369863,36.84210526,28.40909091,28.82882883,33.92857143,33.59375,30.625,32.75862069,36.4640884,36.53846154,36.69724771,30.63973064,29.41176471,33.63636364,38.63636364,39.72125436,36.09022556,32.34323432,31.17408907,26.37795276,18.24561404,16.12903226,14.74201474,14.94252874,13.90593047,,,
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",,,,,,,,,,,,15.78947368,11.53846154,7.692307692,8.108108108,9.677419355,12.5,13.79310345,14.28571429,8.888888889,1.960784314,2.272727273,2,1.408450704,1.282051282,3.636363636,1.369863014,1.351351351,2.739726027,0,0,2.702702703,3.571428571,3.90625,4.375,1.724137931,1.657458564,3.846153846,4.128440367,1.683501684,0.653594771,0.303030303,0,0,0.37593985,0.330033003,0.4048583,0.393700787,0.350877193,0.293255132,0,0,0.204498978,,,
